group,names,scores,logfoldchanges,pvals,pvals_adj
0,Fgf13,-0.65655714,1.2608212,0.5114657221625158,0.5577245673410369
0,Runx2,-0.6590809,2.6612313,0.5098437972288419,0.5562723729582754
0,Dna2,-0.65962,4.151174,0.5094977158376275,0.5562113446815101
0,Acss1,-0.66601527,,0.5054013359995614,0.5520537670149055
0,Apoe,-0.66606426,3.2684379,0.5053700132159978,0.5520537670149055
0,Map2,-0.66648084,4.4753613,0.5051038108390762,0.5520537670149055
0,Adap2,-0.66648084,,0.5051038108390762,0.5520537670149055
0,Xylt1,-0.6711854,2.5728486,0.5021024260789478,0.5497032271806642
0,Ak5,-0.6722268,4.3672776,0.5014393348573493,0.5492909742408791
0,Ccdc68,-0.6729374,,0.500987138930866,0.5491094027046713
0,Atp6v0d2,-0.6731579,,0.5008468462137992,0.5491094027046713
0,Mdn1,-0.67723763,1.4913536,0.498255191136566,0.5467402412185444
0,Pcnp,-0.67834026,3.3478725,0.49755597032792676,0.5462856787621051
0,Ciz1,-0.6793449,3.2162352,0.4969193576219041,0.5458993745336334
0,Aldh1a2,-0.6794184,,0.49687279325301603,0.5458993745336334
0,H2-Ab1,-0.67981046,3.7638168,0.49662448923104263,0.5458993745336334
0,Gja1,-0.67981046,,0.49662448923104263,0.5458993745336334
0,Itga8,-0.68626696,8.365114,0.4925447654962454,0.5423367693603115
0,Sh2d3c,-0.6926255,,0.48854460080086426,0.5382413791581936
0,Plcb1,-0.6931401,,0.4882216557425686,0.5381948902004049
0,Rps6ka5,-0.69955987,,0.4842022270934129,0.5340711561208702
0,Galnt5,-0.6995721,5.596055,0.48419457361988016,0.5340711561208702
0,Map3k10,-0.69960886,4.358832,0.4841716135928612,0.5340711561208702
0,Btbd9,-0.70597965,3.7246459,0.4802008092404706,0.5305734589705949
0,Cd86,-0.70646966,,0.47989609979228554,0.5305425739918175
0,Fah,-0.7121421,2.8743985,0.4763767735858553,0.5269557270421723
0,Rffl,-0.7121789,4.3740573,0.47635401637909136,0.5269557270421723
0,Itsn1,-0.71228915,2.4011621,0.476285748332935,0.5269557270421723
0,Vamp5,-0.71228915,2.84894,0.476285748332935,0.5269557270421723
0,Slco3a1,-0.71286494,,0.4759293245427436,0.5269557270421723
0,Sumo1,-0.7129017,4.8507795,0.475906579053781,0.5269557270421723
0,Slc37a2,-0.7129262,,0.4758914157255697,0.5269557270421723
0,Plvap,-0.7130855,,0.4757928605489199,0.5269557270421723
0,Agtpbp1,-0.7192357,4.0061374,0.47199568718046014,0.524530859318807
0,Phka1,-0.7197993,,0.4716485762068191,0.5244491418726638
0,Ptpn4,-0.7256188,2.61052,0.46807252006518707,0.5207748235432174
0,Gria1,-0.72624356,,0.4676894593624312,0.5206508092902327
0,Inpp4b,-0.73256534,4.8718505,0.46382357238336935,0.5166471750487618
0,Plxna4,-0.7331289,,0.4634798051415173,0.5165644107304004
0,Syk,-0.7331289,,0.4634798051415173,0.5165644107304004
0,Ntm,-0.7331289,5.4060497,0.4634798051415173,0.5165644107304004
0,Zfp385b,-0.7331289,,0.4634798051415173,0.5165644107304004
0,Crnde,-0.7347216,0.5134022,0.4625090569254261,0.5165644107304004
0,Stac,-0.73953646,4.0923185,0.4595813187650786,0.5137127627245806
0,Prdm16,-0.74479234,4.954102,0.4563972718288628,0.5104513244433664
0,Mob3b,-0.74479234,3.196592,0.4563972718288628,0.5104513244433664
0,Btk,-0.75978816,,0.44738122753744103,0.5009519936853238
0,Dele1,-0.76461524,2.8107026,0.44450069441614515,0.4980174349478376
0,Ptgds,-0.76617116,4.2445784,0.44357445797227946,0.49727031341102906
0,Ppm1h,-0.76618344,,0.4435671691495059,0.49727031341102906
0,Vwc2,-0.77245617,,0.43984428725853886,0.49366598283057317
0,Dcbld1,-0.7773935,2.900147,0.4369266256323028,0.4906785830914613
0,Tnfaip3,-0.7864474,,0.43160543337010404,0.4849868791151755
0,Mmp14,-0.7919728,3.5701785,0.42837653450555047,0.4816409481801409
